,SRR32936402,SRR32936389,SRR32938709,SRR32936396,SRR32936412,SRR32938731,SRR32938711,SRR32938723,SRR32938694,SRR32938705,SRR32936377,SRR32936401,SRR32936410,SRR32936379,SRR32938685,SRR32936376,SRR32938686,SRR32936420,SRR32936403,SRR32936388,SRR32938688,SRR32936422,SRR32936405,SRR32936390,SRR32936421,SRR32938721,SRR32938712,SRR32938684,SRR32938702,SRR32936383,SRR32936417,SRR32938693,SRR32938725,SRR32936415,SRR32936406,SRR32938730,SRR32936385,SRR32938728,SRR32938733,SRR32938713,SRR32936394,SRR32936416,SRR32938720,SRR32938704,SRR32938717,SRR32938722,SRR32936381,SRR32936408,SRR32936395,SRR32936407,SRR32938690,SRR32936384,SRR32938703,SRR32938734,SRR32938729,SRR32936414,SRR32936423,SRR32938707,SRR32938708,SRR32936393,SRR32938699,SRR32938689,SRR32938732,SRR32936382,SRR32938724,SRR32938718,SRR32936404,SRR32938687,SRR32936378,SRR32938715,SRR32938696,SRR32936409,SRR32938698,SRR32936386,SRR32936419,SRR32938706,SRR32936391,SRR32938701,SRR32936424,SRR32936418,SRR32938726,SRR32938710,SRR32936413,SRR32938697,SRR32936380,SRR32938714,SRR32938692,SRR32938691,SRR32938716,SRR32936392,SRR32938695,SRR32936387,SRR32938727,SRR32936398,SRR32936425,SRR32936411,SRR32936397,SRR32938719,SRR32936399,SRR32938700,SRR32936400
g__Sneathia,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Solobacterium,519.0,255.0,86.0,247.0,2093.0,62.0,637.0,167.0,49.0,34.0,1675.0,1331.0,268.0,754.0,159.0,223.0,111.0,1019.0,1987.0,852.0,147.0,1419.0,206.0,499.0,1590.0,84.0,41.0,17.0,228.0,1317.0,184.0,2.0,91.0,2212.0,582.0,106.0,1294.0,126.0,206.0,29.0,1355.0,344.0,17.0,56.0,54.0,187.0,373.0,599.0,150.0,2136.0,32.0,30.0,50.0,6.0,352.0,1631.0,252.0,111.0,23.0,1574.0,36.0,115.0,20.0,247.0,68.0,41.0,857.0,211.0,214.0,28.0,30.0,1202.0,143.0,569.0,125.0,67.0,2305.0,182.0,1226.0,530.0,10.0,20.0,1266.0,287.0,483.0,98.0,68.0,126.0,63.0,958.0,47.0,732.0,24.0,885.0,53.0,899.0,1176.0,58.0,1478.0,137.0,667.0
g__Sphaerochaeta,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
g__Staphylococcus,7.0,0.0,0.0,7.0,26.0,1.0,7.0,6.0,0.0,9.0,13.0,4.0,76.0,8.0,18.0,15.0,13.0,3.0,19.0,0.0,4.0,33.0,7.0,127.0,3.0,6.0,0.0,19.0,15.0,16.0,3.0,20.0,5.0,0.0,58.0,2.0,4.0,4.0,12.0,2.0,118.0,11.0,9.0,0.0,3.0,0.0,10.0,10.0,26.0,5.0,0.0,147.0,5.0,6.0,0.0,2.0,19.0,3.0,60.0,5.0,0.0,0.0,8.0,3.0,2.0,0.0,6.0,18.0,25.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,10.0,1.0,2.0,10.0,0.0,0.0,4.0,6.0,10.0,1.0,65.0,104.0,4.0,2.0,4.0,122.0,7.0,3.0,67.0,17.0,34.0,16.0,32.0,7.0,2.0
g__Stenotrophomonas,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
g__Stomatobaculum,448.0,71.0,139.0,577.0,234.0,57.0,27.0,185.0,94.0,54.0,325.0,405.0,232.0,398.0,73.0,204.0,144.0,224.0,122.0,538.0,18.0,408.0,123.0,520.0,316.0,138.0,69.0,42.0,161.0,396.0,299.0,8.0,19.0,261.0,770.0,27.0,381.0,79.0,46.0,41.0,232.0,340.0,30.0,190.0,136.0,37.0,54.0,1001.0,119.0,79.0,48.0,68.0,41.0,144.0,168.0,360.0,742.0,288.0,14.0,846.0,26.0,170.0,22.0,769.0,34.0,29.0,226.0,87.0,66.0,18.0,61.0,236.0,14.0,490.0,258.0,95.0,346.0,104.0,309.0,277.0,46.0,27.0,484.0,207.0,82.0,25.0,20.0,64.0,39.0,500.0,153.0,61.0,28.0,1204.0,315.0,151.0,315.0,235.0,82.0,111.0,402.0
g__Streptobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Streptococcus,37508.0,15975.0,84947.0,35074.0,47011.0,32883.0,102760.0,10549.0,48776.0,64050.0,60768.0,29125.0,44908.0,47489.0,29804.0,76988.0,54287.0,33983.0,28508.0,29738.0,45281.0,33372.0,44572.0,35987.0,34067.0,111612.0,82978.0,22260.0,67150.0,18871.0,21832.0,99677.0,20879.0,24470.0,27889.0,43756.0,41271.0,58583.0,36392.0,68869.0,49602.0,21193.0,83360.0,14061.0,64368.0,27256.0,16661.0,40892.0,31416.0,48828.0,29988.0,57628.0,212333.0,84348.0,28520.0,26655.0,49726.0,50418.0,52843.0,23393.0,52771.0,102347.0,59907.0,23614.0,61568.0,72462.0,35263.0,49097.0,58611.0,49848.0,60691.0,48264.0,51180.0,35884.0,41922.0,114870.0,36219.0,120212.0,22110.0,36874.0,70416.0,31679.0,24633.0,51938.0,17028.0,153570.0,85431.0,17743.0,55460.0,18271.0,44358.0,61511.0,62314.0,25671.0,87858.0,20849.0,35742.0,58348.0,23339.0,98726.0,60460.0
g__Suttonella,0.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
g__Tannerella,94.0,1525.0,19.0,240.0,30.0,2005.0,2645.0,15.0,387.0,315.0,122.0,881.0,273.0,253.0,49.0,5.0,93.0,80.0,1386.0,35.0,434.0,599.0,109.0,507.0,24.0,34.0,142.0,846.0,392.0,178.0,1998.0,329.0,3514.0,624.0,316.0,1135.0,380.0,55.0,2658.0,623.0,92.0,424.0,513.0,286.0,1153.0,1820.0,780.0,203.0,285.0,147.0,1017.0,665.0,256.0,64.0,99.0,628.0,216.0,270.0,601.0,105.0,424.0,219.0,4.0,1384.0,802.0,182.0,59.0,546.0,779.0,86.0,177.0,94.0,455.0,1077.0,4518.0,61.0,1436.0,115.0,524.0,58.0,271.0,4287.0,80.0,650.0,878.0,37.0,266.0,2440.0,144.0,773.0,514.0,139.0,155.0,79.0,412.0,247.0,424.0,649.0,288.0,361.0,14.0
g__Treponema,23.0,4056.0,4.0,197.0,228.0,182.0,4294.0,1062.0,628.0,177.0,1211.0,122.0,157.0,188.0,510.0,15.0,68.0,124.0,880.0,71.0,240.0,1327.0,166.0,163.0,39.0,78.0,42.0,1329.0,1329.0,414.0,530.0,862.0,9324.0,311.0,368.0,593.0,1246.0,320.0,4102.0,113.0,136.0,810.0,882.0,958.0,1777.0,1510.0,670.0,683.0,534.0,272.0,219.0,1196.0,459.0,7.0,208.0,369.0,429.0,382.0,775.0,190.0,57.0,102.0,13.0,20.0,399.0,147.0,124.0,3775.0,5290.0,293.0,297.0,133.0,869.0,1403.0,1503.0,135.0,56.0,208.0,452.0,315.0,362.0,198.0,1191.0,1911.0,429.0,271.0,106.0,5623.0,44.0,503.0,1336.0,308.0,2161.0,52.0,37.0,480.0,389.0,55.0,771.0,111.0,9.0
g__UCG_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__UTBCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Veillonella,18386.0,4273.0,33407.0,24755.0,28790.0,23434.0,3788.0,6303.0,19780.0,29932.0,32558.0,14231.0,14267.0,26565.0,4456.0,33973.0,36597.0,21860.0,9857.0,15005.0,11588.0,14060.0,14999.0,15920.0,17710.0,9036.0,34369.0,30253.0,19235.0,22174.0,9657.0,35455.0,6656.0,8417.0,11396.0,5157.0,23101.0,10845.0,7390.0,34618.0,62079.0,13527.0,44219.0,19257.0,26344.0,14621.0,9378.0,23872.0,17399.0,16839.0,21299.0,28145.0,6027.0,27126.0,22280.0,11887.0,11517.0,24666.0,22558.0,21246.0,19826.0,13061.0,27769.0,13503.0,5924.0,37433.0,24880.0,12905.0,6917.0,5663.0,28189.0,16927.0,45181.0,7331.0,32594.0,6344.0,14559.0,20527.0,19570.0,12723.0,18805.0,21782.0,13376.0,19009.0,10152.0,10525.0,3131.0,13681.0,12720.0,17928.0,4220.0,23185.0,1095.0,33942.0,16289.0,10867.0,22710.0,12635.0,5490.0,9722.0,24431.0
g__Verruc_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Vicingus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
g__W5053,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,6.0,0.0,26.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
g__uncultured,430.0,119.0,323.0,112.0,675.0,14.0,12.0,375.0,977.0,41.0,83.0,381.0,1104.0,7.0,14.0,10.0,13.0,1126.0,9.0,2228.0,12.0,538.0,282.0,85.0,340.0,101.0,57.0,27.0,906.0,8.0,431.0,6.0,83.0,1035.0,83.0,80.0,38.0,152.0,99.0,82.0,19.0,171.0,35.0,46.0,123.0,55.0,21.0,1130.0,75.0,90.0,27.0,17.0,11.0,2.0,112.0,553.0,103.0,136.0,55.0,892.0,23.0,4.0,4.0,12.0,113.0,6.0,93.0,272.0,45.0,16.0,2143.0,9.0,75.0,343.0,19.0,83.0,38.0,153.0,901.0,28.0,12.0,8.0,779.0,411.0,29.0,22.0,6.0,84.0,27.0,3703.0,281.0,30.0,51.0,21.0,11.0,89.0,1479.0,214.0,767.0,30.0,371.0
